quality_id;grade;checked;updated_by;descriptor
Attendance;A;true;1;No absences without valid reason in 6 months.
Attendance;B;true;1;Missed fewer than 2 days without valid reason in 6 months.
Attendance;C;true;1;Missed more than 2 but fewer than 5 days without valid reason in 6 months.
Attendance;D;true;1;Missed more than 5 but fewer than 10 days without valid reason in 6 months.
Attendance;E;true;1;Missed more than 10 days without valid reason in 6 months.
Punctuality;A;true;1;Late on fewer than 3 occasions in 6 months.
Punctuality;B;true;1;Late on more than 3 but fewer than 5 occasions in 6 months.
Punctuality;C;true;1;Late on more than 5 but fewer than 8 occasions in 6 months.
Punctuality;D;true;1;Late on more than 8 but fewer than 10 occasions in 6 months.
Punctuality;E;true;1;Late on more than 10 occasions in 6 months.
Completing assignments;A;true;1;Always completes any assignment on time and to a high standard.
Completing assignments;B;true;1;Completes 90% of assignments on time and to a good standard.
Completing assignments;C;true;1;Completes more than 75% but less than 90% of assignments on time and to a good standard.
Completing assignments;D;true;1;Completes more than 50% but less than 75% of assignments on time and to a good standard.
Completing assignments;E;true;1;Less than 50% of tasks are completed on time or to a good standard.
Personal appearance;A;true;1;When dressed for the job, personal appearance and dress immediately impress. Distinctive, perhaps distinguished.
Personal appearance;B;true;1;When dressed for the job, personal appearance and dress don't stand out, but this person is always neat and tidy.
Personal appearance;C;true;1;Not especially neat and tidy, but adequate for the job.
Personal appearance;D;true;1;Some aspects of personal appearance may be off-putting to people encountered in the job.
Personal appearance;E;true;1;Appearance and dress are totally unsuitable for the job.
Confidence;A;true;1;Always assured and confident in demeanour and presentation of ideas without being aggressively over-confident.
Confidence;B;true;1;Appears confident with familiar situations and people, but still sometimes nervous or over-confident when in an unfamiliar context.
Confidence;C;true;1;Uncertain of capabilities and needing frequent reassurance. Or over-confident and sometimes overbearing.
Confidence;D;true;1;Timid in relationships and new situations - or aggressively over-confident.
Confidence;E;true;1;Unsuited for contact with other people because of chronic fear of new situations.  Or someone whose surly aggression drives others away.
Enthusiasm;A;true;1;Always eager to take on a new task, whether hard or simple, and tackles it diligently, without question or complaint. This positive attitude inspires others too.
Enthusiasm;B;true;1;Usually eager to work, but on one or two occasions has been less than willing to tackle an assignment within the range of competence, or reluctant to learn something new.
Enthusiasm;C;true;1;Generally takes on tasks or assignments without objection, but does not appear to be strongly motivated, and will not inspire others.
Enthusiasm;D;true;1;Has often questioned the validity of tasks or assignments within the range of competence, or has carried them out with obvious reluctance.
Enthusiasm;E;true;1;Responds badly to instructions and will not carry out a task or assignment unless it is demanded. Likely to demotivate others.
Following instructions;A;true;1;Always follows instructions precisely and completely. However, when meeting a situation outside the rules, knows exactly how to act in an appropriate manner. Is careful to understand the instructions before starting.
Following instructions;B;true;1;Follows instructions too well, but has a tendency to be too literal, and can be lost unless there are firm guidelines. Or sometimes may not take sufficient care to check the instructions before starting.
Following instructions;C;true;1;Tries to follow instructions but can sometimes miss a step or misinterpret what is required.
Following instructions;D;true;1;Does not follow instructions well. Misses out steps and does not check thoroughly enough.
Following instructions;E;true;1;Pays no heed to instructions, preferring to set own agenda.
Leadership;A;true;1;A natural leader. People tend to listen and follow this person's example and guidance. Is chosen as leader without making an issue of leadership.
Leadership;B;true;1;Works well in association with another leader. A good number 2, commanding the respect of a team.
Leadership;C;true;1;Has some leadership qualities, but sometimes upsets people in the team by being over-assertive. Or still reluctant to take the lead.
Leadership;D;true;1;Has some leadership qualities, but often upsets people in the team by being over-assertive. Not a popular leader.
Leadership;E;true;1;Shows no inclination to lead, or tries to lead but completely fails to win the respect and support of the team.
Teamwork;A;true;1;Always contributes vigorously to the efforts of the team, whether as a leader or a team member. Understands own weaknesses ond others' strengths and goes to the right people for help. Sympathetically helps others to address their weaknesses.
Teamwork;B;true;1;Works willingly in a team and tolerant of others, no matter what their strengths and weaknesses.  But does not always make a strong contribution.
